2025-03-20 15:45:03,679 - ROISystem - INFO - 선택된 ROI 표시: id=1, 원본좌표=(274, 154), 변환좌표=(1431, 804)
2025-03-20 15:45:11,098 - ROISystem - INFO - ROI 목록 초기화 완료 (제품 ID: 002)
2025-03-20 15:45:11,100 - ROISystem - INFO - 총 3개의 ROI를 로드했습니다
2025-03-20 15:45:15,612 - ROISystem - INFO - ROI 목록 초기화 완료 (제품 ID: 002)
2025-03-20 15:45:15,614 - ROISystem - INFO - 총 3개의 ROI를 로드했습니다
2025-03-20 15:45:23,422 - ROISystem - INFO - 선택된 ROI 표시: id=10, 원본좌표=(274, 154), 변환좌표=(468, 263)
2025-03-20 15:45:23,773 - ROISystem - INFO - 선택된 ROI 표시: id=12, 원본좌표=(470, 133), 변환좌표=(802, 227)
2025-03-20 15:45:24,125 - ROISystem - INFO - 선택된 ROI 표시: id=11, 원본좌표=(174, 302), 변환좌표=(297, 515)
2025-03-20 15:45:31,589 - matplotlib - DEBUG - matplotlib data path: C:\Users\ddumc\miniconda3\envs\youngdo\lib\site-packages\matplotlib\mpl-data
2025-03-20 15:45:31,593 - matplotlib - DEBUG - CONFIGDIR=C:\Users\ddumc\.matplotlib
2025-03-20 15:45:31,595 - matplotlib - DEBUG - interactive is False
2025-03-20 15:45:31,596 - matplotlib - DEBUG - platform is win32
2025-03-20 15:45:31,637 - matplotlib - DEBUG - CACHEDIR=C:\Users\ddumc\.matplotlib
2025-03-20 15:45:31,640 - matplotlib.font_manager - DEBUG - Using fontManager instance from C:\Users\ddumc\.matplotlib\fontlist-v330.json
2025-03-20 15:45:31,905 - matplotlib.font_manager - DEBUG - findfont: Matching Malgun Gothic:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2025-03-20 15:45:31,906 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ddumc\\miniconda3\\envs\\youngdo\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-03-20 15:45:31,906 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ddumc\\miniconda3\\envs\\youngdo\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-03-20 15:45:31,906 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ddumc\\miniconda3\\envs\\youngdo\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-03-20 15:45:31,907 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ddumc\\miniconda3\\envs\\youngdo\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-03-20 15:45:31,908 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ddumc\\miniconda3\\envs\\youngdo\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-03-20 15:45:31,908 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ddumc\\miniconda3\\envs\\youngdo\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-03-20 15:45:31,908 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ddumc\\miniconda3\\envs\\youngdo\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-03-20 15:45:31,908 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ddumc\\miniconda3\\envs\\youngdo\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-03-20 15:45:31,908 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ddumc\\miniconda3\\envs\\youngdo\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-03-20 15:45:31,908 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ddumc\\miniconda3\\envs\\youngdo\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-03-20 15:45:31,909 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ddumc\\miniconda3\\envs\\youngdo\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
